hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
025040107410003168d2a000a00000e2,2,2,0,10.775,0.0149105,519.072,0.0217663,2.41811,0.0311969
025040107410003168d2a000a00000e2,2,2,1,10.7419,0.00981028,526.352,0.0113075,1.10534,0.0145158
025040107410003168d2a000a00000e2,2,2,2,10.7794,0.0141859,539.889,0.0231074,2.42626,0.033071
025040107410003168d2a000a00000e2,2,2,3,10.7332,0.0263086,540.768,0.0244963,0.904605,0.041808
025040107410003168d2a000a00000e2,2,2,4,10.742,0.00810437,533.67,0.0102995,1.21796,0.0133491
025040107410003168d2a000a00000e2,2,2,5,10.7433,0.0106712,526.32,0.0123551,1.12523,0.0159062
025040107410003168d2a000a00000e2,2,2,6,10.7326,0.0166504,532.897,0.0182314,1.01441,0.0243165
025040107410003168d2a000a00000e2,2,2,7,10.7335,0.00709389,527.915,0.0090229,1.24976,0.0118947
025040107410003168d2a000a00000e2,2,2,8,10.7423,0.0164418,532.882,0.0181752,1.04529,0.024503
025040107410003168d2a000a00000e2,2,2,9,10.7336,0.0263871,540.646,0.0255091,0.922033,0.0411423
025040107410003168d2a000a00000e2,2,2,10,10.7293,0.0255124,541.255,0.0238412,0.90108,0.0403173
025040107410003168d2a000a00000e2,2,2,11,10.7313,0.0223089,540.456,0.022975,0.961956,0.0340274
025040107410003168d2a000a00000e2,2,2,12,10.7316,0.0127354,536.633,0.0157655,1.16199,0.0203242
025040107410003168d2a000a00000e2,2,2,13,10.7425,0.0109924,539.459,0.0129115,1.09466,0.015508
025040107410003168d2a000a00000e2,2,2,14,10.727,0.0162209,541.87,0.0183526,1.03088,0.0247504
025040107410003168d2a000a00000e2,2,2,15,10.7401,0.0192871,538.7,0.0205165,0.98493,0.0285838
025040107410003168d2a000a00000e2,2,2,16,10.7343,0.0105138,542.459,0.0133964,1.19463,0.0170424
025040107410003168d2a000a00000e2,2,2,17,10.7373,0.00654305,535.072,0.00899613,1.34301,0.0123679
025040107410003168d2a000a00000e2,2,2,18,10.7261,0.025652,537.994,0.0222368,0.857441,0.0406881
025040107410003168d2a000a00000e2,2,2,19,10.7386,0.00687842,535.668,0.00936785,1.32563,0.0125795
025040107410003168d2a000a00000e2,2,2,20,10.7227,0.023787,544.487,0.0243736,0.942679,0.036596
025040107410003168d2a000a00000e2,2,2,21,10.7315,0.0205984,545.69,0.0221246,0.96905,0.0308511
025040107410003168d2a000a00000e2,2,2,22,10.7214,0.0232243,545.507,0.023291,0.902714,0.0346665
025040107410003168d2a000a00000e2,2,2,23,10.7297,0.0161551,546.777,0.0198392,1.20559,0.0245602
025040107410003168d2a000a00000e2,2,2,24,10.7191,0.0260392,537.832,0.0234775,0.886557,0.0411771
025040107410003168d2a000a00000e2,2,2,25,10.7326,0.0194312,537.25,0.0209689,0.994749,0.0290177
025040107410003168d2a000a00000e2,2,2,26,10.7228,0.0216025,538.527,0.0215755,0.920544,0.0319489
025040107410003168d2a000a00000e2,2,2,27,10.7258,0.0198728,541.648,0.0210776,0.970939,0.0300992
025040107410003168d2a000a00000e2,2,2,28,10.7245,0.0171914,538.885,0.0195118,1.08222,0.0258354
025040107410003168d2a000a00000e2,2,2,29,10.7237,0.0273249,545.026,0.0250398,0.904024,0.0450825
025040107410003168d2a000a00000e2,2,2,30,10.7333,0.0105519,542.467,0.0135689,1.22161,0.0172563
025040107410003168d2a000a00000e2,2,2,31,10.7147,0.0462748,551.819,0.0796951,2.46495,0.115617
025040107410003168d2a000a00000e2,2,2,32,10.7268,0.015121,538.983,0.0172759,1.07349,0.0222157
025040107410003168d2a000a00000e2,2,2,33,10.7289,0.0264656,544.691,0.0260784,0.953795,0.0430413
025040107410003168d2a000a00000e2,2,2,34,10.7248,0.0252526,538.133,0.0231402,0.916658,0.0408012
025040107410003168d2a000a00000e2,2,2,35,10.7299,0.0169347,543.945,0.0206974,1.15546,0.0274758
025040107410003168d2a000a00000e2,2,2,36,10.7232,0.0135291,543.658,0.0170959,1.17789,0.021905
025040107410003168d2a000a00000e2,2,2,37,10.7277,0.0261689,544.652,0.0257998,0.940546,0.0418301
025040107410003168d2a000a00000e2,2,2,38,10.7176,0.0255557,545.341,0.0243207,0.88227,0.0393605
025040107410003168d2a000a00000e2,2,2,39,10.72,0.0261146,544.675,0.0259795,0.963003,0.042601
025040107410003168d2a000a00000e2,2,2,40,10.7226,0.0132083,543.593,0.0169877,1.21909,0.0216924
025040107410003168d2a000a00000e2,2,2,41,10.7422,0.011703,539.479,0.0138966,1.13248,0.0167185
025040107410003168d2a000a00000e2,2,2,42,10.7288,0.00964152,542.676,0.0127793,1.28955,0.0160351
025040107410003168d2a000a00000e2,2,2,43,10.7319,0.0163017,543.928,0.0197697,1.12957,0.0260466
025040107410003168d2a000a00000e2,2,2,44,10.7083,0.0238734,530.345,0.021683,0.91247,0.0332837
025040107410003168d2a000a00000e2,2,2,45,10.7426,0.00723935,533.872,0.00955029,1.29745,0.0124788
025040107410003168d2a000a00000e2,2,2,46,10.7287,0.00719287,534.992,0.00994939,1.35913,0.0136565
025040107410003168d2a000a00000e2,2,2,47,10.7344,0.0249403,530.311,0.0222935,0.897945,0.0349846
025040107410003168d2a000a00000e2,2,2,48,10.7158,0.0258065,538.164,0.0238912,0.923763,0.0416996
025040107410003168d2a000a00000e2,2,2,49,10.7396,0.00897434,536.174,0.011898,1.28704,0.015501
025040107410003168d2a000a00000e2,2,2,50,10.7229,0.00764167,535.175,0.0108302,1.43025,0.0146985
025040107410003168d2a000a00000e2,2,2,51,10.7378,0.00722509,533.916,0.00962046,1.31825,0.0125909
025040107410003168d2a000a00000e2,2,2,52,10.7125,0.0217862,531.536,0.0206563,0.955806,0.029619
025040107410003168d2a000a00000e2,2,2,53,10.7403,0.0136843,536.765,0.0168339,1.17623,0.0219347
025040107410003168d2a000a00000e2,2,2,54,10.7222,0.0221542,531.529,0.0210022,0.955899,0.0300084
025040107410003168d2a000a00000e2,2,2,55,10.7311,0.0184449,531.177,0.0178066,0.942756,0.0220244
025040107410003168d2a000a00000e2,2,2,56,10.7313,0.0132059,539.219,0.0156898,1.15286,0.019325
025040107410003168d2a000a00000e2,2,2,57,10.7415,0.0184547,532.735,0.0200215,1.05692,0.028222
025040107410003168d2a000a00000e2,2,2,58,10.7313,0.0175757,532.803,0.0190442,1.02464,0.0261093
025040107410003168d2a000a00000e2,2,2,59,10.7281,0.0263109,529.883,0.023399,0.923933,0.0407328
