hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
0250401074100030c043a000a00000c7,2,0,0,10.7729,0.0180269,574.906,0.0205194,1.09789,0.0270429
0250401074100030c043a000a00000c7,2,0,1,10.7307,0.0169298,573.935,0.0271785,2.3732,0.0383267
0250401074100030c043a000a00000c7,2,0,2,10.7737,0.0151392,580.813,0.0181884,1.1831,0.0238435
0250401074100030c043a000a00000c7,2,0,3,10.7247,0.0201721,583.02,0.0268544,1.89184,0.0404047
0250401074100030c043a000a00000c7,2,0,4,10.6904,0.017718,585.117,0.0297273,2.63198,0.0404729
0250401074100030c043a000a00000c7,2,0,5,10.7593,0.0126043,579.856,0.0209837,2.34658,0.0267964
0250401074100030c043a000a00000c7,2,0,6,10.717,0.0166167,585.282,0.0265033,2.33187,0.035566
0250401074100030c043a000a00000c7,2,0,7,10.7361,0.0202063,582.23,0.0276242,1.92754,0.0415874
0250401074100030c043a000a00000c7,2,0,8,10.7086,0.0211872,592.242,0.0300372,2.15448,0.0436186
0250401074100030c043a000a00000c7,2,0,9,10.7243,0.0219547,598.303,0.0281845,2.00808,0.0401783
0250401074100030c043a000a00000c7,2,0,10,10.7132,0.0172179,594.36,0.024859,2.20139,0.0327712
0250401074100030c043a000a00000c7,2,0,11,10.724,0.0192758,592.748,0.0270634,2.08464,0.0382864
0250401074100030c043a000a00000c7,2,0,12,10.7161,0.0183462,594.637,0.0262568,2.18776,0.0351372
0250401074100030c043a000a00000c7,2,0,13,10.7206,0.020527,592.149,0.027934,2.00269,0.0413784
0250401074100030c043a000a00000c7,2,0,14,10.7047,0.0208223,596.873,0.0275063,2.06395,0.0388492
0250401074100030c043a000a00000c7,2,0,15,10.7113,0.0229786,599.247,0.0303352,2.11971,0.0441357
0250401074100030c043a000a00000c7,2,0,16,10.7147,0.0205823,601.027,0.0284172,2.29435,0.03751
0250401074100030c043a000a00000c7,2,0,17,10.7135,0.0204295,597.329,0.0262322,1.95727,0.0359
0250401074100030c043a000a00000c7,2,0,18,10.6988,0.021658,598.58,0.0284693,2.10415,0.0412119
0250401074100030c043a000a00000c7,2,0,19,10.7152,0.0197184,590.972,0.0267526,1.97014,0.0372293
0250401074100030c043a000a00000c7,2,0,20,10.6982,0.0221757,595.974,0.030377,2.16128,0.0442742
0250401074100030c043a000a00000c7,2,0,21,10.726,0.0302777,608.775,0.0349203,2.13596,0.0480936
0250401074100030c043a000a00000c7,2,0,22,10.7108,0.0202974,595.304,0.0284608,2.18184,0.0401744
0250401074100030c043a000a00000c7,2,0,23,10.7164,0.0206894,591.951,0.0287482,2.08753,0.0421961
0250401074100030c043a000a00000c7,2,0,24,10.7143,0.0294156,607.347,0.0351955,2.18519,0.0507638
0250401074100030c043a000a00000c7,2,0,25,10.7289,0.0256935,605.692,0.0327149,2.22315,0.0439076
0250401074100030c043a000a00000c7,2,0,26,10.7127,0.0247151,605.115,0.0327996,2.36652,0.0434709
0250401074100030c043a000a00000c7,2,0,27,10.727,0.0255518,605.401,0.0333164,2.30776,0.044224
0250401074100030c043a000a00000c7,2,0,28,10.7032,0.026081,603.594,0.0345585,2.30526,0.0496973
0250401074100030c043a000a00000c7,2,0,29,10.7199,0.0245077,604.165,0.0320798,2.24933,0.0440663
0250401074100030c043a000a00000c7,2,0,30,10.7133,0.0356971,610.293,0.0423561,2.41024,0.0591383
0250401074100030c043a000a00000c7,2,0,31,10.7122,0.025812,603.643,0.0335736,2.22305,0.0483722
0250401074100030c043a000a00000c7,2,0,32,10.6834,0.021873,598.261,0.029348,2.17498,0.0418263
0250401074100030c043a000a00000c7,2,0,33,10.7225,0.0310192,609.244,0.0357653,2.18028,0.0498178
0250401074100030c043a000a00000c7,2,0,34,10.7006,0.0236139,601.629,0.0328486,2.38111,0.0445937
0250401074100030c043a000a00000c7,2,0,35,10.7272,0.0260884,605.619,0.0335678,2.26668,0.0449116
0250401074100030c043a000a00000c7,2,0,36,10.7009,0.0207775,600.476,0.0293525,2.39598,0.0393245
0250401074100030c043a000a00000c7,2,0,37,10.7142,0.0198712,592.252,0.0278738,2.11261,0.0406425
0250401074100030c043a000a00000c7,2,0,38,10.7104,0.0196691,600.53,0.0273512,2.31467,0.0364425
0250401074100030c043a000a00000c7,2,0,39,10.7167,0.0206319,601,0.0287144,2.33791,0.038013
0250401074100030c043a000a00000c7,2,0,40,10.708,0.0262776,602.393,0.0359822,2.39191,0.051395
0250401074100030c043a000a00000c7,2,0,41,10.7154,0.0209222,600.258,0.0290152,2.30409,0.0391694
0250401074100030c043a000a00000c7,2,0,42,10.6943,0.0210488,596.78,0.0282068,2.11778,0.0401187
0250401074100030c043a000a00000c7,2,0,43,10.7191,0.0210859,595.5,0.0292759,2.16962,0.0419312
0250401074100030c043a000a00000c7,2,0,44,10.7011,0.017247,594.048,0.0252904,2.25526,0.033209
0250401074100030c043a000a00000c7,2,0,45,10.7098,0.0208288,591.277,0.0287852,2.05691,0.041056
0250401074100030c043a000a00000c7,2,0,46,10.6885,0.020074,591.903,0.0281099,2.10875,0.0411538
0250401074100030c043a000a00000c7,2,0,47,10.7063,0.0203962,597.723,0.0266538,2.04541,0.0368771
0250401074100030c043a000a00000c7,2,0,48,10.6945,0.0179819,584.525,0.0270932,2.18167,0.0390083
0250401074100030c043a000a00000c7,2,0,49,10.7282,0.0154784,587.415,0.0248522,2.38428,0.0330811
0250401074100030c043a000a00000c7,2,0,50,10.7053,0.0200518,588.989,0.0293623,2.19954,0.0434441
0250401074100030c043a000a00000c7,2,0,51,10.7088,0.0193762,592.335,0.0275216,2.15757,0.0398088
0250401074100030c043a000a00000c7,2,0,52,10.6786,0.0197458,583.908,0.0276006,1.98876,0.0413908
