hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
025040107410003168d2a000a00000e2,2,2,0,10.7842,0.0153661,518.994,0.0222791,2.40227,0.0317419
025040107410003168d2a000a00000e2,2,2,1,10.7442,0.0117868,526.322,0.0134364,1.0836,0.0172254
025040107410003168d2a000a00000e2,2,2,2,10.7772,0.0145534,539.644,0.0225231,2.30927,0.0337813
025040107410003168d2a000a00000e2,2,2,3,10.7291,0.0264955,540.314,0.0251614,0.910141,0.0412129
025040107410003168d2a000a00000e2,2,2,4,10.7354,0.0182774,533.803,0.0199347,1.03136,0.0273985
025040107410003168d2a000a00000e2,2,2,5,10.7437,0.0104513,526.441,0.0120332,1.08446,0.0154377
025040107410003168d2a000a00000e2,2,2,6,10.7263,0.0271804,533.162,0.0235601,0.858601,0.041661
025040107410003168d2a000a00000e2,2,2,7,10.7358,0.00720834,527.975,0.009066,1.22113,0.0119551
025040107410003168d2a000a00000e2,2,2,8,10.7353,0.0268512,533.102,0.0235166,0.885454,0.0420937
025040107410003168d2a000a00000e2,2,2,9,10.7302,0.0246678,540.284,0.0234866,0.925366,0.0389437
025040107410003168d2a000a00000e2,2,2,10,10.7281,0.0147532,540.967,0.0171218,1.06708,0.0227367
025040107410003168d2a000a00000e2,2,2,11,10.7278,0.0271813,540.025,0.0243802,0.893925,0.0433011
025040107410003168d2a000a00000e2,2,2,12,10.7274,0.0117734,536.601,0.0144437,1.13086,0.0185495
025040107410003168d2a000a00000e2,2,2,13,10.731,0.022073,539.355,0.0214754,0.909969,0.0279872
025040107410003168d2a000a00000e2,2,2,14,10.7245,0.00946874,541.662,0.0122714,1.22164,0.0154679
025040107410003168d2a000a00000e2,2,2,15,10.7342,0.0201109,538.668,0.0196504,0.923918,0.0254253
025040107410003168d2a000a00000e2,2,2,16,10.7234,0.010489,542.242,0.0135224,1.1884,0.0170779
025040107410003168d2a000a00000e2,2,2,17,10.7378,0.00752154,534.989,0.00994315,1.28169,0.0130057
025040107410003168d2a000a00000e2,2,2,18,10.7255,0.0251586,537.967,0.0231344,0.935332,0.0403648
025040107410003168d2a000a00000e2,2,2,19,10.7362,0.00712435,535.647,0.00947707,1.2699,0.0125959
025040107410003168d2a000a00000e2,2,2,20,10.7145,0.0241312,544.12,0.0214154,0.853119,0.0385014
025040107410003168d2a000a00000e2,2,2,21,10.7333,0.0110287,545.409,0.0146241,1.31141,0.0187404
025040107410003168d2a000a00000e2,2,2,22,10.7238,0.0126616,545.217,0.0161843,1.23374,0.0211438
025040107410003168d2a000a00000e2,2,2,23,10.7093,0.0219004,546.833,0.0282045,1.2547,0.037217
025040107410003168d2a000a00000e2,2,2,24,10.7171,0.0250535,537.784,0.0236144,0.939677,0.0400025
025040107410003168d2a000a00000e2,2,2,25,10.7322,0.0179818,537.171,0.0199557,1.03109,0.0271745
025040107410003168d2a000a00000e2,2,2,26,10.7182,0.0229871,538.484,0.0219405,0.910521,0.0310506
025040107410003168d2a000a00000e2,2,2,27,10.7268,0.0105811,541.432,0.0135461,1.21993,0.0172604
025040107410003168d2a000a00000e2,2,2,28,10.7162,0.0181418,538.87,0.0180522,0.940078,0.0221042
