hybrid_id, fec,vmm,ch,pulser_dac,pulser_mV,threshold_dac,threshold_mV,time,counts,rate
025040107410003168d2a000a00000e2,2,3,0,322,265,600,488,1.00123,10735,10.7219
025040107410003168d2a000a00000e2,2,3,1,322,265,600,488,1.00123,10785,10.7718
025040107410003168d2a000a00000e2,2,3,2,322,265,600,488,1.00123,10769,10.7558
025040107410003168d2a000a00000e2,2,3,3,322,265,600,488,1.00123,10792,10.7788
025040107410003168d2a000a00000e2,2,3,4,322,265,600,488,1.00123,10791,10.7778
025040107410003168d2a000a00000e2,2,3,5,322,265,600,488,1.00123,10784,10.7708
025040107410003168d2a000a00000e2,2,3,6,322,265,600,488,1.00123,10757,10.7438
025040107410003168d2a000a00000e2,2,3,7,322,265,600,488,1.00123,10788,10.7748
025040107410003168d2a000a00000e2,2,3,8,322,265,600,488,1.00123,10790,10.7768
025040107410003168d2a000a00000e2,2,3,9,322,265,600,488,1.00123,10792,10.7788
025040107410003168d2a000a00000e2,2,3,10,322,265,600,488,1.00123,10758,10.7448
025040107410003168d2a000a00000e2,2,3,11,322,265,600,488,1.00123,10792,10.7788
025040107410003168d2a000a00000e2,2,3,12,322,265,600,488,1.00123,10791,10.7778
025040107410003168d2a000a00000e2,2,3,13,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,14,322,265,600,488,1.00123,10781,10.7678
025040107410003168d2a000a00000e2,2,3,15,322,265,600,488,1.00123,10794,10.7808
025040107410003168d2a000a00000e2,2,3,16,322,265,600,488,1.00123,10791,10.7778
025040107410003168d2a000a00000e2,2,3,17,322,265,600,488,1.00123,10794,10.7808
025040107410003168d2a000a00000e2,2,3,18,322,265,600,488,1.00123,10790,10.7768
025040107410003168d2a000a00000e2,2,3,19,322,265,600,488,1.00123,10792,10.7788
025040107410003168d2a000a00000e2,2,3,20,322,265,600,488,1.00123,10783,10.7698
025040107410003168d2a000a00000e2,2,3,21,322,265,600,488,1.00123,10794,10.7808
025040107410003168d2a000a00000e2,2,3,22,322,265,600,488,1.00123,10790,10.7768
025040107410003168d2a000a00000e2,2,3,23,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,24,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,25,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,26,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,27,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,28,322,265,600,488,1.00123,10789,10.7758
025040107410003168d2a000a00000e2,2,3,29,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,30,322,265,600,488,1.00123,10786,10.7728
025040107410003168d2a000a00000e2,2,3,31,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,32,322,265,600,488,1.00123,10792,10.7788
025040107410003168d2a000a00000e2,2,3,33,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,34,322,265,600,488,1.00123,10791,10.7778
025040107410003168d2a000a00000e2,2,3,35,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,36,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,37,322,265,600,488,1.00123,10793,10.7798
025040107410003168d2a000a00000e2,2,3,38,322,265,600,488,1.00123,10791,10.7778
025040107410003168d2a000a00000e2,2,3,39,322,265,600,488,1.00123,10793,10.7798
