hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
0250401074100030c043a000a00000c7,2,0,0,10.7721,0.0144263,575.049,0.017544,1.19384,0.023455
0250401074100030c043a000a00000c7,2,0,1,10.733,0.0188027,573.984,0.0319997,2.52966,0.0462135
0250401074100030c043a000a00000c7,2,0,2,10.7669,0.0237164,580.585,0.0232139,0.97645,0.0365512
0250401074100030c043a000a00000c7,2,0,3,10.7417,0.0131686,582.994,0.0201956,2.14931,0.0260369
0250401074100030c043a000a00000c7,2,0,4,10.6858,0.0201479,585.098,0.0304074,2.35298,0.0447784
0250401074100030c043a000a00000c7,2,0,5,10.7401,0.0168218,579.871,0.0239298,1.91783,0.0329729
0250401074100030c043a000a00000c7,2,0,6,10.7096,0.0190989,585.276,0.0256086,1.92015,0.0383092
0250401074100030c043a000a00000c7,2,0,7,10.7448,0.0152732,582.179,0.0232845,2.13151,0.0315034
0250401074100030c043a000a00000c7,2,0,8,10.7125,0.0185403,591.877,0.0274464,2.27197,0.0387806
0250401074100030c043a000a00000c7,2,0,9,10.7308,0.0209399,598.389,0.0276077,2.0549,0.0398067
0250401074100030c043a000a00000c7,2,0,10,10.714,0.0183341,594.09,0.0264371,2.22892,0.0372644
0250401074100030c043a000a00000c7,2,0,11,10.7298,0.0169619,592.493,0.024802,2.1991,0.0332632
0250401074100030c043a000a00000c7,2,0,12,10.715,0.0190216,594.378,0.0271768,2.22035,0.0393063
0250401074100030c043a000a00000c7,2,0,13,10.7253,0.0189212,591.787,0.0270477,2.12385,0.0387481
0250401074100030c043a000a00000c7,2,0,14,10.7127,0.0165894,596.713,0.0235498,2.21529,0.031168
0250401074100030c043a000a00000c7,2,0,15,10.7141,0.022669,599.206,0.0294344,2.07434,0.0438519
0250401074100030c043a000a00000c7,2,0,16,10.706,0.0230423,600.94,0.030803,2.17079,0.043057
0250401074100030c043a000a00000c7,2,0,17,10.7247,0.0173404,597.215,0.0240655,2.12777,0.0314578
0250401074100030c043a000a00000c7,2,0,18,10.709,0.021626,598.566,0.0291337,2.16068,0.0422697
