hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
025040107410003168d2a000a00000e2,2,3,0,10.6392,0.0177235,506.758,0.0141203,1.07712,0.0179892
025040107410003168d2a000a00000e2,2,3,1,10.7169,0.018392,512.238,0.0160034,1.13775,0.0195464
025040107410003168d2a000a00000e2,2,3,2,10.6779,0.0302968,516.545,0.0243347,0.966337,0.037444
025040107410003168d2a000a00000e2,2,3,3,10.7183,0.00883609,522.029,0.00978443,1.26406,0.0122031
025040107410003168d2a000a00000e2,2,3,4,10.7028,0.0142853,525.324,0.0148551,1.14086,0.0180086
025040107410003168d2a000a00000e2,2,3,5,10.6972,0.024775,513.195,0.0206684,1.03718,0.0278197
025040107410003168d2a000a00000e2,2,3,6,10.6677,0.0221119,516.154,0.0196152,1.05619,0.0261294
025040107410003168d2a000a00000e2,2,3,7,10.7066,0.0171047,515.85,0.0156116,1.09408,0.0193054
025040107410003168d2a000a00000e2,2,3,8,10.7062,0.00979571,521.901,0.0109167,1.29132,0.0135851
025040107410003168d2a000a00000e2,2,3,9,10.7231,0.0148041,525.727,0.0153349,1.12079,0.0186681
025040107410003168d2a000a00000e2,2,3,10,10.6693,0.0285376,516.489,0.0239146,1.03115,0.0361395
025040107410003168d2a000a00000e2,2,3,11,10.7143,0.0146643,525.352,0.0152652,1.14503,0.0184639
025040107410003168d2a000a00000e2,2,3,12,10.6914,0.0190949,528.027,0.0205688,1.15222,0.0274273
025040107410003168d2a000a00000e2,2,3,13,10.7044,0.0281866,524.117,0.0220687,0.896601,0.0391857
025040107410003168d2a000a00000e2,2,3,14,10.6816,0.0273429,519.383,0.0250643,1.11255,0.0365302
025040107410003168d2a000a00000e2,2,3,15,10.7056,0.0286241,527.347,0.0246696,0.931074,0.0399666
025040107410003168d2a000a00000e2,2,3,16,10.6855,0.0189965,525.975,0.0192653,1.07255,0.0244687
025040107410003168d2a000a00000e2,2,3,17,10.7093,0.0236095,526.314,0.0222774,0.986124,0.0311531
025040107410003168d2a000a00000e2,2,3,18,10.685,0.0276803,524.144,0.0221733,0.92061,0.0388853
025040107410003168d2a000a00000e2,2,3,19,10.7052,0.0232883,520.736,0.0212432,1.01839,0.0296881
025040107410003168d2a000a00000e2,2,3,20,10.6749,0.0285999,523.966,0.0217663,0.866307,0.0395636
025040107410003168d2a000a00000e2,2,3,21,10.7198,0.0158272,528.196,0.0174749,1.17794,0.0227411
025040107410003168d2a000a00000e2,2,3,22,10.6914,0.0211711,524.732,0.019894,0.999749,0.0274216
025040107410003168d2a000a00000e2,2,3,23,10.7206,0.0120685,528.703,0.0140994,1.24923,0.0177022
025040107410003168d2a000a00000e2,2,3,24,10.6737,0.0272175,530.429,0.0271471,1.06725,0.0406553
025040107410003168d2a000a00000e2,2,3,25,10.7233,0.0147137,528.312,0.0164017,1.17622,0.0210623
025040107410003168d2a000a00000e2,2,3,26,10.6674,0.0223488,531.704,0.0229797,1.06937,0.0328606
025040107410003168d2a000a00000e2,2,3,27,10.7114,0.0260142,524.402,0.0223891,0.958249,0.0353692
025040107410003168d2a000a00000e2,2,3,28,10.7041,0.00875775,522.006,0.00973181,1.273,0.012125
025040107410003168d2a000a00000e2,2,3,29,10.7229,0.0107769,521.588,0.0116639,1.23704,0.0147113
025040107410003168d2a000a00000e2,2,3,30,10.6912,0.0142549,525.312,0.0148781,1.15164,0.018073
025040107410003168d2a000a00000e2,2,3,31,10.7195,0.0163562,528.172,0.0179083,1.16036,0.0233303
025040107410003168d2a000a00000e2,2,3,32,10.6911,0.0236725,527.675,0.0230649,1.03284,0.03306
025040107410003168d2a000a00000e2,2,3,33,10.6974,0.0278818,530.383,0.0286647,1.12334,0.0425801
025040107410003168d2a000a00000e2,2,3,34,10.6819,0.0267001,523.595,0.0221052,0.889754,0.0345263
025040107410003168d2a000a00000e2,2,3,35,10.7137,0.0146189,529.52,0.0170545,1.24278,0.0216367
025040107410003168d2a000a00000e2,2,3,36,10.6635,0.0246526,531.552,0.0242263,1.03046,0.0363814
025040107410003168d2a000a00000e2,2,3,37,10.714,0.0319666,526.913,0.0254286,0.886485,0.0455819
025040107410003168d2a000a00000e2,2,3,38,10.6805,0.0292973,526.891,0.0235194,0.891398,0.0418939
025040107410003168d2a000a00000e2,2,3,39,10.7232,0.0179937,524.926,0.017481,1.02179,0.0226771
025040107410003168d2a000a00000e2,2,3,40,10.7223,0.00824759,522.005,0.00896497,1.20307,0.0112784
025040107410003168d2a000a00000e2,2,3,41,10.7191,0.0293326,527.325,0.0251465,0.932621,0.0411532
025040107410003168d2a000a00000e2,2,3,42,10.6984,0.0245773,524.505,0.0211052,0.906464,0.0314425
