hybrid_id, fec,vmm,ch,fit scale, error scale, fit mean, error mean, fit sigma, error sigma
0250401074100030c043a000a00000c7,2,1,0,10.6607,0.0212082,517.19,0.0276627,1.85004,0.0408016
0250401074100030c043a000a00000c7,2,1,1,10.7114,0.0150444,525.118,0.0230639,2.15675,0.0311744
0250401074100030c043a000a00000c7,2,1,2,10.6925,0.0205202,519.576,0.0313513,2.20842,0.0426543
0250401074100030c043a000a00000c7,2,1,3,10.6996,0.0185397,531.085,0.027088,1.98237,0.0391217
0250401074100030c043a000a00000c7,2,1,4,10.6678,0.0164473,524.407,0.0235289,1.96467,0.0345568
0250401074100030c043a000a00000c7,2,1,5,10.7065,0.0142136,526.503,0.0227381,2.28788,0.030141
0250401074100030c043a000a00000c7,2,1,6,10.6753,0.0163315,532.535,0.0243601,2.00696,0.0332455
0250401074100030c043a000a00000c7,2,1,7,10.6791,0.0219796,522.407,0.0315755,1.98191,0.0455691
0250401074100030c043a000a00000c7,2,1,8,10.6791,0.0171474,532.008,0.0258907,2.07496,0.0358796
0250401074100030c043a000a00000c7,2,1,9,10.6936,0.0168154,529.113,0.0249836,2.04381,0.0347784
0250401074100030c043a000a00000c7,2,1,10,10.6751,0.0176231,528.722,0.0261876,2.04668,0.0373559
0250401074100030c043a000a00000c7,2,1,11,10.6936,0.0171524,534.837,0.0255934,1.99804,0.0357425
0250401074100030c043a000a00000c7,2,1,12,10.6722,0.017299,531.562,0.0256245,2.01021,0.0362898
0250401074100030c043a000a00000c7,2,1,13,10.7039,0.0171876,546.074,0.0281574,2.13733,0.0368969
0250401074100030c043a000a00000c7,2,1,14,10.6864,0.0167395,541.091,0.0262921,2.12782,0.038519
0250401074100030c043a000a00000c7,2,1,15,10.6918,0.0174128,532.922,0.0259751,2.014,0.0358055
0250401074100030c043a000a00000c7,2,1,16,10.665,0.015916,537.421,0.0249163,2.09666,0.0361899
0250401074100030c043a000a00000c7,2,1,17,10.6962,0.0162637,535.426,0.0244392,2.0084,0.0335173
0250401074100030c043a000a00000c7,2,1,18,10.6792,0.017347,541.458,0.0269977,2.09836,0.0391749
0250401074100030c043a000a00000c7,2,1,19,10.6986,0.0159334,539.722,0.0257543,2.13951,0.0347331
0250401074100030c043a000a00000c7,2,1,20,10.6784,0.017292,536.429,0.0256006,1.94327,0.0370137
0250401074100030c043a000a00000c7,2,1,21,10.6989,0.0172585,545.536,0.0280687,2.11626,0.0371649
0250401074100030c043a000a00000c7,2,1,22,10.6858,0.0198172,544.571,0.03172,2.13655,0.0454597
0250401074100030c043a000a00000c7,2,1,23,10.6977,0.0180214,541.889,0.0276594,2.04668,0.0391155
0250401074100030c043a000a00000c7,2,1,24,10.6852,0.0177137,542.657,0.0275546,2.09094,0.0383948
0250401074100030c043a000a00000c7,2,1,25,10.6985,0.0187249,544.638,0.0299157,2.12629,0.0426948
0250401074100030c043a000a00000c7,2,1,26,10.6778,0.0162066,548.318,0.0268769,2.27297,0.0394817
0250401074100030c043a000a00000c7,2,1,27,10.6905,0.0197987,544.386,0.0313972,2.11915,0.0455919
0250401074100030c043a000a00000c7,2,1,28,-9999,-9999,-9999,-9999,-9999,-9999
0250401074100030c043a000a00000c7,2,1,29,10.6964,0.0183614,543.088,0.0281908,2.04207,0.0398063
0250401074100030c043a000a00000c7,2,1,30,10.6722,0.018454,541.066,0.0284793,2.05365,0.0420332
0250401074100030c043a000a00000c7,2,1,31,10.6863,0.0177256,542.256,0.0272912,2.04973,0.0379455
0250401074100030c043a000a00000c7,2,1,32,10.669,0.0179046,534.655,0.0265691,1.9749,0.0375038
0250401074100030c043a000a00000c7,2,1,33,10.6951,0.018038,548.831,0.0308622,2.40149,0.0434181
0250401074100030c043a000a00000c7,2,1,34,10.6824,0.0190771,544.01,0.0303766,2.16283,0.04438
0250401074100030c043a000a00000c7,2,1,35,10.6874,0.0180553,541.399,0.0278176,2.0612,0.0405492
0250401074100030c043a000a00000c7,2,1,36,10.6841,0.0154941,537.575,0.0242474,2.08482,0.0348917
0250401074100030c043a000a00000c7,2,1,37,10.6973,0.0165149,536.475,0.0247393,1.99446,0.0358539
0250401074100030c043a000a00000c7,2,1,38,10.68,0.0201068,543.965,0.0313503,2.08193,0.0461599
0250401074100030c043a000a00000c7,2,1,39,10.6921,0.0175924,540.63,0.0275417,2.0864,0.0401578
0250401074100030c043a000a00000c7,2,1,40,10.6839,0.0179756,541.045,0.0274139,2.0127,0.0406526
0250401074100030c043a000a00000c7,2,1,41,10.696,0.0174726,541.395,0.0266293,2.02273,0.0389043
0250401074100030c043a000a00000c7,2,1,42,10.6826,0.0163144,536.079,0.0242037,1.94841,0.0339242
0250401074100030c043a000a00000c7,2,1,43,10.6933,0.0163949,535.056,0.0243064,1.9617,0.0335064
0250401074100030c043a000a00000c7,2,1,44,10.6763,0.019109,534.002,0.0282423,1.98319,0.0408152
0250401074100030c043a000a00000c7,2,1,45,10.7023,0.0173867,534.655,0.0254749,1.93712,0.0359854
0250401074100030c043a000a00000c7,2,1,46,10.6984,0.0174687,540.556,0.027,2.03135,0.0394336
0250401074100030c043a000a00000c7,2,1,47,10.7085,0.0146807,537.857,0.0230744,2.07722,0.0323928
0250401074100030c043a000a00000c7,2,1,48,10.6877,0.0161348,535.232,0.0237549,1.9237,0.0324062
0250401074100030c043a000a00000c7,2,1,49,10.7043,0.0134764,538.61,0.0215866,2.08374,0.0283676
0250401074100030c043a000a00000c7,2,1,50,10.6966,0.0167926,532.604,0.0248482,1.98034,0.0338536
0250401074100030c043a000a00000c7,2,1,51,10.7016,0.0162052,535.505,0.0240845,1.96208,0.0328805
0250401074100030c043a000a00000c7,2,1,52,10.6987,0.0169594,528.839,0.0246296,1.96028,0.0347502
0250401074100030c043a000a00000c7,2,1,53,10.6891,0.0199784,523.454,0.0260579,1.76237,0.0403691
0250401074100030c043a000a00000c7,2,1,54,10.6949,0.0178795,528.448,0.0264211,2.03613,0.0384
0250401074100030c043a000a00000c7,2,1,55,10.6927,0.0200502,517.24,0.0259012,1.82083,0.0380498
0250401074100030c043a000a00000c7,2,1,56,10.7047,0.0165625,527.485,0.0251934,2.11174,0.0362536
0250401074100030c043a000a00000c7,2,1,57,10.702,0.0173151,527.726,0.0258368,2.05288,0.0379382
0250401074100030c043a000a00000c7,2,1,58,10.714,0.0143606,526.65,0.0222024,2.12063,0.0295972
0250401074100030c043a000a00000c7,2,1,59,10.6963,0.0154988,525.11,0.0230735,2.01073,0.0310961
0250401074100030c043a000a00000c7,2,1,60,10.7059,0.0223072,521.252,0.0337824,2.08943,0.0441689
0250401074100030c043a000a00000c7,2,1,61,10.698,0.0199143,523.3,0.0260206,1.76695,0.0401861
0250401074100030c043a000a00000c7,2,1,62,10.7135,0.0220793,521.537,0.0329458,2.04022,0.0435653
0250401074100030c043a000a00000c7,2,1,63,10.7722,0.0143535,518.749,0.015997,1.13883,0.0199776
